"index","alfa-romero","audi","bmw","chevrolet","dodge","honda","isuzu","jaguar","mazda","mercedes-benz","mercury","mitsubishi","nissan","peugot","plymouth","porsche","saab","subaru","toyota","volkswagen","volvo","diesel","gas","convertible","hardtop","hatchback","sedan","wagon","price","num-of-doors","avg-mpg","dohc","l","ohc","ohcf","ohcv","num-of-cylinders","bore","horsepower","4wd","fwd","rwd"
"119","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","1","0","0","7957","2","27.0","0","0","1","0","0","4","3.03","102","0","1","0"
"4","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","17450","4","20.0","0","0","1","0","0","5","3.19","115","1","0","0"
"179","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","1","0","0","15998","2","21.5","1","0","0","0","0","6","3.27","161","0","0","1"
"141","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","1","0","7126","4","34.5","0","0","0","1","0","4","3.62","82","0","1","0"
"181","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","1","15750","4","21.5","1","0","0","0","0","6","3.27","156","0","0","1"
"28","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","8921","4","27.0","0","0","1","0","0","4","3.34","88","0","1","0"
"6","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","17710","4","22.0","0","0","1","0","0","5","3.19","110","0","1","0"
"187","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","1","0","9495","4","39.5","0","0","1","0","0","4","3.01","68","0","1","0"
"163","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","1","0","8058","2","31.5","0","0","1","0","0","4","3.19","70","0","0","1"
"19","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","6295","2","40.5","0","0","1","0","0","4","3.03","70","0","1","0"
"126","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","1","0","0","0","32528","2","21.0","0","0","0","1","0","6","3.74","207","0","0","1"
"193","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1","12290","4","28.0","0","0","1","0","0","4","3.19","88","0","1","0"
"148","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","1","8013","4","26.0","0","0","0","1","0","4","3.62","82","1","0","0"
"182","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","1","0","7775","2","41.5","0","0","1","0","0","4","3.01","52","0","1","0"
"169","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","1","0","0","9989","2","27.0","0","0","1","0","0","4","3.62","116","0","0","1"
"171","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","1","0","0","11549","2","27.0","0","0","1","0","0","4","3.62","116","0","0","1"
"69","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","28176","2","23.5","0","0","1","0","0","5","3.58","123","0","0","1"
"132","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","1","0","0","11850","2","24.5","0","0","1","0","0","4","3.54","110","0","1","0"
"64","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","11245","4","29.0","0","0","1","0","0","4","3.39","84","0","1","0"
"8","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","23875","4","18.5","0","0","1","0","0","5","3.13","140","0","1","0"
"160","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","1","0","7738","4","42.5","0","0","1","0","0","4","3.19","70","0","1","0"
"153","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","1","6918","4","34.0","0","0","1","0","0","4","3.05","62","0","1","0"
"113","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","1","16695","4","21.5","0","1","0","0","0","4","3.46","95","0","0","1"
"135","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","1","0","15510","4","24.5","0","0","1","0","0","4","3.54","110","0","1","0"
"2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","16500","2","22.5","0","0","0","0","1","6","2.68","154","0","0","1"
"11","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","16925","4","26.0","0","0","1","0","0","4","3.5","101","0","0","1"
"184","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","1","0","7995","4","41.5","0","0","1","0","0","4","3.01","52","0","1","0"
"97","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","7999","4","34.0","0","0","1","0","0","4","3.15","69","0","1","0"
"194","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","1","0","12940","4","25.5","0","0","1","0","0","4","3.78","114","0","0","1"
"24","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","6229","4","34.5","0","0","1","0","0","4","2.97","68","0","1","0"
"74","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","45400","2","15.0","0","0","0","0","1","8","3.8","184","0","0","1"
"61","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","10595","2","29.0","0","0","1","0","0","4","3.39","84","0","1","0"
"92","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","6849","4","34.0","0","0","1","0","0","4","3.15","69","0","1","0"
"52","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","6795","2","34.5","0","0","1","0","0","4","3.03","68","0","1","0"
"29","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","12964","2","21.5","0","0","1","0","0","4","3.6","145","0","1","0"
"203","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","0","22470","4","26.5","0","0","1","0","0","6","3.01","106","0","0","1"
"22","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","6377","2","34.5","0","0","1","0","0","4","2.97","68","0","1","0"
"189","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","11595","2","26.5","0","0","1","0","0","4","3.19","90","0","1","0"
"93","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","7349","4","34.0","0","0","1","0","0","4","3.15","69","0","1","0"
"168","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","0","9639","2","27.0","0","0","1","0","0","4","3.62","116","0","0","1"
"43","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","6785","4","26.5","0","0","1","0","0","4","3.31","78","0","0","1"
"118","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","1","0","0","5572","2","39.0","0","0","1","0","0","4","2.97","68","0","1","0"
"40","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","10295","4","30.0","0","0","1","0","0","4","3.15","86","0","1","0"
"34","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","7129","2","32.0","0","0","1","0","0","4","2.91","76","0","1","0"
"38","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","9095","2","30.0","0","0","1","0","0","4","3.15","86","0","1","0"
"134","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","1","0","0","15040","2","24.5","0","0","1","0","0","4","2.54","110","0","1","0"
"41","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","12945","4","26.0","0","0","1","0","0","4","3.15","101","0","1","0"
"12","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","20970","2","24.5","0","0","1","0","0","6","3.31","121","0","0","1"
"133","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","1","0","12170","4","24.5","0","0","1","0","0","4","3.54","110","0","1","0"
"122","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","1","0","7609","4","34.5","0","0","1","0","0","4","2.97","68","0","1","0"
"75","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","16503","2","21.5","0","0","1","0","0","4","3.78","175","0","0","1"
"31","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","6855","2","34.5","0","0","1","0","0","4","2.91","76","0","1","0"
"147","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","1","10198","4","28.0","0","0","0","1","0","4","3.62","94","0","1","0"
"23","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","7957","2","27.0","0","0","1","0","0","4","3.03","102","0","1","0"
"54","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","7395","4","34.5","0","0","1","0","0","4","3.08","68","0","1","0"
"0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","13495","2","24.0","1","0","0","0","0","4","3.47","111","0","0","1"
"101","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","13499","4","19.5","0","0","0","0","1","6","3.43","152","0","1","0"
"26","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","7609","4","34.5","0","0","1","0","0","4","2.97","68","0","1","0"
"104","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","17199","2","22.0","0","0","0","0","1","6","3.43","160","0","0","1"
"46","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","11048","2","26.5","0","0","1","0","0","4","3.43","90","0","0","1"
"162","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","1","0","9258","4","31.0","0","0","1","0","0","4","3.19","70","0","1","0"
"138","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","1","0","0","5118","2","33.5","0","0","0","1","0","4","3.62","69","0","1","0"
"65","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","18280","4","23.0","0","0","1","0","0","4","3.76","120","0","0","1"
"143","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","1","0","9960","4","29.0","0","0","0","1","0","4","3.62","94","0","1","0"
"13","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","21105","4","24.5","0","0","1","0","0","6","3.31","121","0","0","1"
"158","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1","0","7898","4","35.0","0","0","1","0","0","4","3.27","56","0","1","0"
"150","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","1","0","0","5348","2","37.0","0","0","1","0","0","4","3.05","62","0","1","0"
"42","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","10345","2","28.0","0","0","1","0","0","4","3.15","100","0","1","0"
"94","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","7299","2","34.0","0","0","1","0","0","4","3.15","69","0","1","0"
"174","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1","0","10698","4","31.5","0","0","1","0","0","4","3.27","73","0","1","0"
"204","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","1","0","22625","4","22.0","0","0","1","0","0","4","3.78","114","0","0","1"
"14","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","24565","4","22.5","0","0","1","0","0","6","3.31","121","0","0","1"
"154","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","1","7898","4","29.5","0","0","1","0","0","4","3.05","62","1","0","0"
"70","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","31600","4","23.5","0","0","1","0","0","5","3.58","123","0","0","1"
"152","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","1","0","0","6488","4","34.5","0","0","1","0","0","4","3.05","62","0","1","0"
"191","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","1","0","13295","4","21.5","0","0","1","0","0","5","3.19","110","0","1","0"
"110","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","1","13860","4","25.0","0","1","0","0","0","4","3.7","95","0","0","1"
"59","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","8845","2","29.0","0","0","1","0","0","4","3.39","84","0","1","0"
"21","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","5572","2","39.0","0","0","1","0","0","4","2.97","68","0","1","0"
"83","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","14869","2","21.5","0","0","1","0","0","4","3.59","145","0","1","0"
"37","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","7895","2","30.0","0","0","1","0","0","4","3.15","86","0","1","0"
"164","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","1","0","0","8238","2","31.5","0","0","1","0","0","4","3.19","70","0","0","1"
"128","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","1","0","0","0","0","37028","2","21.0","0","0","0","1","0","6","3.74","207","0","0","1"
"81","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","8499","2","28.5","0","0","1","0","0","4","3.35","88","0","1","0"
"25","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","6692","4","34.5","0","0","1","0","0","4","2.97","68","0","1","0"
"144","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","1","0","9233","4","24.5","0","0","0","1","0","4","3.62","82","1","0","0"
"127","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","1","0","0","0","34028","2","21.0","0","0","0","1","0","6","3.74","207","0","0","1"
"202","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","1","0","21485","4","20.5","0","0","0","0","1","6","3.58","134","0","0","1"
"33","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","6529","2","32.0","0","0","1","0","0","4","2.91","76","0","1","0"
"156","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","1","0","6938","4","33.5","0","0","1","0","0","4","3.19","70","0","1","0"
"125","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","1","0","0","22018","2","23.0","0","0","1","0","0","4","3.94","143","0","0","1"
"199","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","1","18950","4","19.5","0","0","1","0","0","4","3.62","162","0","0","1"
"108","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","1","0","13200","4","30.5","0","1","0","0","0","4","3.7","95","0","0","1"
"107","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1","0","11900","4","21.5","0","1","0","0","0","4","3.46","97","0","0","1"
"111","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1","0","15580","4","21.5","0","1","0","0","0","4","3.46","95","0","0","1"
"71","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","34184","4","17.0","0","0","0","0","1","8","3.46","155","0","0","1"
"66","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","18344","4","35.0","0","0","1","0","0","4","3.43","72","0","0","1"
"175","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","1","0","0","9988","4","29.5","0","0","1","0","0","4","3.31","92","0","1","0"
"50","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","5195","2","30.5","0","0","1","0","0","4","3.03","68","0","1","0"
"109","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","1","12440","4","21.5","0","1","0","0","0","4","3.46","97","0","0","1"
"16","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","41315","2","19.0","0","0","1","0","0","6","3.62","182","0","0","1"
"196","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","1","0","15985","4","26.0","0","0","1","0","0","4","3.78","114","0","0","1"
"32","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","5399","2","40.0","0","0","1","0","0","4","2.91","60","0","1","0"
"121","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","1","0","6692","4","34.5","0","0","1","0","0","4","2.97","68","0","1","0"
"178","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","1","0","0","16558","2","22.0","1","0","0","0","0","6","3.27","161","0","0","1"
"120","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","1","0","0","6229","4","34.5","0","0","1","0","0","4","2.97","68","0","1","0"
"123","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","1","8921","4","27.0","0","0","1","0","0","4","3.35","88","0","1","0"
"151","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","1","0","0","6338","2","34.5","0","0","1","0","0","4","3.05","62","0","1","0"
"20","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","6575","4","40.5","0","0","1","0","0","4","3.03","70","0","1","0"
"115","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1","0","16630","4","21.5","0","1","0","0","0","4","3.46","97","0","0","1"
